source,event,acq_datetime,lat,lon,brightness,confidence,frp
NASA-FIRMS,Wildfire,2025-10-14 01:43:00,32.79799,-82.76224,301.85,45,29.01
NASA-FIRMS,Wildfire,2025-10-14 01:43:00,32.8122,-82.76675,303.4,55,33.52
NASA-FIRMS,Wildfire,2025-10-14 01:43:00,32.80599,-82.73878,300.67,32,26.74
NASA-FIRMS,Wildfire,2025-10-14 01:43:00,32.79907,-82.7695,302.47,49,32.05
NASA-FIRMS,Wildfire,2025-10-14 01:47:00,41.45784,-81.67666,300.49,29,11.73
NASA-FIRMS,Wildfire,2025-10-14 01:47:00,42.80024,-80.10117,300.83,34,9.14
NASA-FIRMS,Wildfire,2025-10-14 03:28:00,48.13313,-104.04218,317.36,95,21.79
NASA-FIRMS,Wildfire,2025-10-14 03:19:00,25.60581,-100.91322,306.78,69,16.16
NASA-FIRMS,Wildfire,2025-10-14 03:19:00,25.60314,-100.92842,306.05,67,15.24
NASA-FIRMS,Wildfire,2025-10-14 03:21:00,29.5755,-98.03432,308.06,73,7.09
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.50976,-90.19602,311.52,65,8.4
NASA-FIRMS,Wildfire,2025-10-14 15:20:00,44.7904,-85.34727,303.21,55,6.27
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,42.80075,-80.09163,302.15,0,5.93
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,41.46662,-81.67355,308.81,53,8.61
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,41.46473,-81.6807,305.32,23,5.82
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,41.56469,-84.04958,308.37,65,5.72
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,39.97848,-86.83798,309.85,62,5.79
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,38.90562,-81.82156,300.77,39,5.64
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,38.75964,-84.99335,303.82,50,5.2
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,38.00584,-86.14153,304.39,49,4.82
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,37.56203,-84.58029,304.5,59,5.71
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,36.93877,-81.9746,303.97,57,9.39
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,36.94283,-81.97945,303.38,55,8.55
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,37.71522,-88.19775,307.9,56,5.19
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,37.09238,-86.16164,310.74,70,8.13
NASA-FIRMS,Wildfire,2025-10-14 15:22:00,37.44106,-91.86176,305.49,57,7.6
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,36.25845,-83.44334,313.95,70,15.21
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,36.18247,-83.35256,313.97,74,14.46
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.73009,-84.46135,306.63,64,6.81
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.60504,-84.26994,316.91,67,15.55
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,36.03171,-87.3425,304.48,55,4.25
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.85101,-86.66524,306.54,63,5.32
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.96638,-88.20998,305.79,57,5.98
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.71819,-87.67682,308.95,66,7.9
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.71669,-87.66601,306.08,60,5.88
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.6656,-87.36606,306.76,63,6.39
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.35909,-86.27415,305.69,61,5.0
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.3552,-86.3086,319.26,79,16.16
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.64632,-82.29504,306.91,64,8.8
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.37759,-87.28996,305.16,59,4.91
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.45506,-82.68372,305.68,47,5.48
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,35.0372,-89.20414,304.47,48,4.42
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.77943,-87.56696,308.94,65,5.82
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.63757,-87.08279,311.44,69,7.2
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.88148,-82.70176,312.14,70,15.86
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.87868,-82.68634,330.74,86,49.77
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.87939,-82.98722,306.98,60,8.97
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.12727,-85.05732,311.01,68,10.06
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.66402,-89.02013,304.46,52,4.22
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.39125,-82.12836,307.07,48,8.74
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.3803,-82.13116,305.91,43,7.71
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.361,-82.3298,357.01,98,147.23
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.37044,-82.33363,333.64,87,57.91
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.36737,-82.31695,323.64,54,33.36
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.35965,-82.33646,321.46,75,29.99
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.3566,-82.31999,323.7,81,34.69
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.36932,-88.87819,307.42,61,5.65
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,34.36787,-88.86721,305.14,47,4.18
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.44174,-83.48425,339.62,91,64.16
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.43922,-83.47005,330.78,86,43.66
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.42412,-83.44438,348.99,95,92.27
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,33.42157,-83.43012,327.24,84,37.36
